mfcc,scem,scom,srom,sbwm,tempo,rmse,momento_aux
-31.84329036035441,4159.062295880578,26.59223499274479,6647.739461735064,2145.9317260496828,135.99917763157896,0.016830310225486755,Ducha
-23.399915016088702,1761.3798452611804,27.681739210820407,3441.6653449463456,1652.9064365261156,135.99917763157896,0.07234414666891098,Cena
-33.190627506879494,4151.523826315478,26.951729437649053,6832.620246338457,2259.434127820978,123.046875,0.013361201621592045,Ducha
-27.57491559699571,1909.5986506148013,28.79651230293406,3774.3558312790024,1742.4075419186795,129.19921875,0.033218637108802795,Cena
-25.0417752214628,2000.0585083574344,30.50389743228341,3893.2131172056265,1811.3025079634967,99.38401442307692,0.07826779037714005,Cena
-27.247449647612072,1748.7393289744869,27.450018249120024,3408.840949463457,1628.3598433186291,135.99917763157896,0.025493532419204712,Cena
-27.784490710590003,2157.9321949904943,27.89662091984674,4091.733262489124,1782.0076244018492,112.34714673913044,0.03727002069354057,Cena
-26.789369698391727,2090.8101287998934,27.282911142542172,4157.756761165893,1882.093284939593,117.45383522727273,0.03680592030286789,Cena
-25.88411930354143,2334.7045613188907,27.965691019279454,4329.148068173579,1801.1260771364575,135.99917763157896,0.03221060335636139,Cena
-30.737368375943838,1829.1197241961966,26.291003834931807,3510.911329937645,1674.3676263697644,107.666015625,0.020282266661524773,Cena
-32.11864463344846,4036.3797711085763,26.70748679422293,6619.1867341574825,2172.1815238109616,123.046875,0.015723472461104393,Ducha
-31.69495050956904,4259.054319368496,26.66563048743557,6698.524846831497,2147.5094234648054,129.19921875,0.018722480162978172,Ducha
-27.22428258355053,1811.5528998612654,27.152080420102966,3501.168929451856,1661.8899945405176,107.666015625,0.037812165915966034,Cena
-24.25484504934981,2090.3376200103216,29.40902647366001,4054.5372770446634,1791.0161304363198,135.99917763157896,0.08162990212440491,Cena
-26.18532218756101,1943.9301768950045,28.90500979488963,3741.5064552820477,1716.8460707640734,117.45383522727273,0.04361125826835632,Cena
-32.396004220929875,3835.2719753016536,26.43023038258042,6481.469160110933,2223.4355082264306,123.046875,0.014268297702074051,Ducha
-28.496792488774286,1969.195932177621,28.77845751373502,3831.161520265371,1736.581741656946,135.99917763157896,0.024798700585961342,Cena
-23.78766404764309,2079.8827591587633,30.071671792196998,3875.352049648347,1741.710583511694,117.45383522727273,0.1046498715877533,Cena
-31.27069764048677,3846.784917621678,26.54091506477187,6532.5543113761605,2211.5735503626433,117.45383522727273,0.0148876728489995,Ducha
-27.70744091397565,2222.86588377879,28.298487437258462,4164.276675337152,1771.3748338389007,129.19921875,0.03328719362616539,Cena
-26.33270116660885,1898.6983957959073,27.784976154936086,3543.560861822071,1574.8411251931952,135.99917763157896,0.04466814920306206,Cena
-26.226054208333476,1935.7241377499365,27.03117592216042,3767.2363847701567,1711.0865977573217,129.19921875,0.037656188011169434,Cena
-30.74752841832236,4043.315543015439,26.630217230381852,6641.544294246664,2179.343344322799,129.19921875,0.02117488533258438,Ducha
-25.06979634305336,2299.216110526609,28.19702109992164,4353.778855042779,1820.3180670304582,89.10290948275862,0.05516793578863144,Cena
-31.44505238536555,4105.149321987377,27.216504402615907,6625.981433983468,2157.783406580454,123.046875,0.017276659607887268,Ducha
-25.007454196902074,2215.924363561622,28.302297187237404,4301.369736532048,1864.564994580272,151.99908088235293,0.048767976462841034,Cena
-25.409018754970205,2369.884338919071,28.31808724768457,4296.223750634425,1792.744128634385,112.34714673913044,0.036709126085042953,Cena
-24.947044845173668,1955.8818601795294,28.669956014793296,3790.268418739124,1721.4883030313474,123.046875,0.06479766219854355,Cena
-31.3081188995296,2343.1216639016448,28.408717684869554,4356.0271013087295,1851.0839352437504,123.046875,0.014937590807676315,Cena
-25.87746708980912,2240.3110426845233,29.11361696151839,4136.748148836282,1761.0009224930882,117.45383522727273,0.061513639986515045,Cena
-23.909730287653737,2069.9571760379763,28.977180536782644,4009.8221568662993,1801.043898804412,135.99917763157896,0.07032867521047592,Cena
-31.550663486131324,4213.585223477648,26.82183936014617,6690.980731583527,2155.187834572232,112.34714673913044,0.017895102500915527,Ducha
-23.705245090929502,2045.2331754808479,28.936067860328254,4040.5481891676336,1778.1605429320946,107.666015625,0.09579242020845413,Cena
-26.189304135080892,1944.1702632782603,27.78726336312946,3711.2050917198376,1729.0007351465408,143.5546875,0.04401177912950516,Cena
-28.30322332969355,2359.029834400482,26.898269865953818,4255.780298361369,1736.8190400096632,143.5546875,0.03685631603002548,Cena
-28.389400458533576,2132.1990159510015,27.123791788805114,4052.388952834977,1732.868188169391,107.666015625,0.03725334256887436,Cena
