mfcc,scem,scom,srom,sbwm,tempo,rmse,momento
-1.209924952252321,3899.1531530279385,18.9996870875442,7674.3136872824825,3091.6570724962717,123.046875,0.15301096439361572,Aspiradora
-0.073909266248846,4462.048198507889,19.394827715565395,8128.7841796875,3059.54031015715,120.0,0.2257738709449768,Aspiradora
0.09182041939822011,4143.076862841659,16.0992839799956,8194.982541962732,3002.1304729165963,123.046875,0.10612063109874725,Grifo
-1.6938030794597667,4342.919398445463,19.224401380189004,7870.685508356293,3063.3019953845023,123.046875,0.14474274218082428,Aspiradora
-9.215145776194834,4809.931879008827,19.01106964039184,8420.756428092373,3036.7573523325145,123.046875,0.21690496802330017,Aspiradora
-0.38540324557341227,4218.647575760676,15.868196158722789,8253.66176950406,3016.1089470003767,123.046875,0.11606038361787796,Grifo
-6.027368675823445,4188.791803125596,16.06486110342513,8245.368238834108,2941.6242659377726,123.046875,0.040697332471609116,Grifo
-9.106247913278262,4797.424221149854,18.71735958658579,8428.475406938805,3028.983294830641,123.046875,0.2168925702571869,Aspiradora
-9.129867098439579,4790.896609784507,18.924347780939744,8407.316911524797,3035.48234258687,123.046875,0.2193959355354309,Aspiradora
-0.0965232203733077,4160.368190239651,15.93991379483855,8193.084022893707,3002.8309116221785,123.046875,0.10689813643693924,Grifo
-3.827172126756955,4102.379163168271,17.041321423967517,8282.664146334831,3045.491001029705,123.046875,0.05453542619943619,Grifo
-3.9665652305195724,4125.03550172596,16.782979626481946,8283.83823049594,3035.277859770317,117.45383522727273,0.05402154475450516,Grifo
0.1501432771980602,4155.37084913024,16.255944071136398,8232.228488435325,3040.0270310228207,129.19921875,0.10205969959497452,Grifo
-8.939549863888516,4791.777961300616,18.827585090223906,8409.065547509426,3034.367816223671,129.19921875,0.21653343737125397,Aspiradora
-7.957280593753206,4297.485763680122,16.185601817363104,8132.880983994344,3184.3997162271953,123.046875,0.03495601937174797,Grifo
-9.776678333525675,4790.15343453971,19.107324003571414,8359.554168630366,3002.144999335761,123.046875,0.2077019065618515,Aspiradora
-9.067076868264236,4822.410675295638,18.69514529530098,8440.166287521752,3039.770811439989,129.19921875,0.21459996700286865,Aspiradora
-0.23216460118452786,4578.151739890843,15.780857598459518,8447.185811974334,3025.152764131431,123.046875,0.11261455714702606,Grifo
-1.5779161495957836,4231.674040820379,19.43353232267469,7825.845485607599,3068.2605427496683,123.046875,0.14729002118110657,Aspiradora
-7.132548954281712,3607.0179036588033,20.87305695566166,6607.970483341793,2733.730116468045,123.046875,0.07476988434791565,Aspiradora
-4.54951194658221,4125.525951687279,16.913024492869237,8280.016211843822,3024.0443888798827,123.046875,0.05235041305422783,Grifo
-11.506990864099848,4432.9728990515405,16.135745160937816,8241.021629386601,2854.6148248672803,123.046875,0.024315083399415016,Grifo
1.2342394224340034,4029.3094955503293,18.789824722708424,8155.70068359375,3034.609995195143,120.0,0.09998220950365067,Grifo
-1.9977924123901885,4205.240192983122,19.236919282586744,7697.870312046839,3029.74998063824,123.046875,0.12279323488473892,Aspiradora
-6.960693840471381,4199.392812136453,18.7381222789861,8080.33447265625,2900.4892626843393,120.0,0.04465043544769287,Grifo
-1.6591233554346367,4053.5937452280696,18.82413369967773,7639.740655814965,3041.3768036102965,129.19921875,0.15459470450878143,Aspiradora
-0.7915837975291813,4066.6304690406537,21.69789400297133,7353.5888671875,3034.371225297511,120.0,0.09486030787229538,Aspiradora
-5.081814760699471,4192.879981804367,16.295930153265388,8295.728955191415,2988.9403099825245,123.046875,0.04705435410141945,Grifo
