Quote,Author,Tags,Authors_info,Wikipedia_link
The essence of strategy is choosing what not to do.,Michael Porter,"Essence, Deep Thought, Transcendentalism ","Michael Eugene Porter  (born May 23, 1947) is an American academic known for his theories on economics, business strategy, and social causes.",https://en.wikipedia.org/wiki/Michael_Porter
"Death is something inevitable. When a man has done what he considers to be his duty to his people and his country, he can rest in peace. I believe I have made that effort and that is, therefore, why I will sleep for the eternity.",Nelson Mandela,"Inspirational, Motivational, Death ","Nelson Rolihlahla Mandela (; Xhosa: [xolíɬaɬa mandɛ̂ːla]; 18 July 1918 – 5 December 2013) was a South African anti-apartheid revolutionary, political leader, and philanthropist who served as President of South Africa from 1994 to 1999. He was the country's first black head of state and the first elected in a fully representative democratic election.",https://en.wikipedia.org/wiki/Nelson_Mandela
"With or without religion, you would have good people doing good things and evil people doing evil things. But for good people to do evil things, that takes religion.",Steven Weinberg,"God, Religious, Atheist ","Steven Weinberg  (; born May 3, 1933) is an American theoretical physicist and Nobel laureate in Physics for his contributions with Abdus Salam and Sheldon Glashow to the unification of the weak force and electromagnetic interaction between elementary particles.",https://en.wikipedia.org/wiki/Steven_Weinberg
A person who never made a mistake never tried anything new.,Albert Einstein,"Inspirational, Motivational, Change ","Albert Einstein (; German: [ˈalbɛɐ̯t ˈʔaɪnʃtaɪn] (listen); 14 March 1879 – 18 April 1955) was a German-born theoretical physicist who developed the theory of relativity, one of the two pillars of modern physics (alongside quantum mechanics).",https://en.wikipedia.org/wiki/Albert_Einstein
"My mission in life is not merely to survive, but to thrive; and to do so with some passion, some compassion, some humor, and some style",Maya Angelou,"Inspirational, Life, Inspiring ","Maya Angelou ( (listen); born Marguerite Annie Johnson; April 4, 1928 – May 28, 2014) was an American poet, singer, memoirist, and civil rights activist.",https://en.wikipedia.org/wiki/Maya_Angelou
"In a world filled with hate, we must still dare to hope. In a world filled with anger, we must still dare to comfort. In a world filled with despair, we must still dare to dream. And in a world filled with distrust, we must still dare to believe.",Michael Jackson,"Inspirational, Dream, Hate ","Michael Joseph Jackson (August 29, 1958 – June 25, 2009) was an American singer, songwriter and dancer.",https://en.wikipedia.org/wiki/Michael_Jackson
Darkness cannot drive out darkness; only light can do that. Hate cannot drive out hate; only love can do that.,"Martin Luther King, Jr.","Love, Inspirational, Life ","Martin Luther King Jr. (January 15, 1929 – April 4, 1968) was an American Baptist minister and activist who became the most visible spokesperson and leader in the civil rights movement from 1954 until his assassination in 1968. Born in Atlanta, King is best known for advancing civil rights through nonviolence and civil disobedience, tactics his Christian beliefs and the nonviolent activism of Mahatma Gandhi helped inspire.",https://en.wikipedia.org/wiki/Martin_Luther_King_Jr.
To be a Christian means to forgive the inexcusable because God has forgiven the inexcusable in you.,C. S. Lewis,"Forgiveness, God, Christian ","Clive Staples Lewis (29 November 1898 – 22 November 1963) was a British writer and lay theologian. He held academic positions in English literature at both Oxford University (Magdalen College, 1925–1954) and Cambridge University (Magdalene College, 1954–1963).",https://en.wikipedia.org/wiki/C._S._Lewis
A man who is good enough to shed his blood for the country is good enough to be given a square deal afterwards.,Theodore Roosevelt,"Country, Men, Squares ","Theodore  Roosevelt Jr. ( ROH-zə-velt; October 27, 1858 – January 6, 1919) was an American statesman, conservationist and writer who served as the 26th president of the United States from 1901 to 1909. He previously served as the 25th vice president of the United States from March to September 1901 and as the 33rd governor of New York from 1899 to 1900. As a leader of the Republican Party during this time, he became a driving force for the Progressive Era in the United States in the early 20th century.",https://en.wikipedia.org/wiki/Theodore_Roosevelt
Most folks are as happy as they make up their minds to be.,Abraham Lincoln,"Inspirational, Motivational, Positive ","Abraham Lincoln (February 12, 1809 – April 15, 1865) was an American lawyer and politician. He served as the 16th president of the United States from 1861 until his assassination in April 1865. Lincoln led the nation through the Civil War, its bloodiest war and its greatest moral, constitutional, and political crisis.",https://en.wikipedia.org/wiki/Abraham_Lincoln
A happy marriage is the union of two good forgivers.,Ruth Graham,"Love, Friendship, Relationship ","Ruth McCue Bell Graham (June 10, 1920 – June 14, 2007) was an American Christian author, most well known as the wife of evangelist Billy Graham.",https://en.wikipedia.org/wiki/Ruth_Graham
"I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.",C. S. Lewis,"Faith, God, Christian ","Clive Staples Lewis (29 November 1898 – 22 November 1963) was a British writer and lay theologian. He held academic positions in English literature at both Oxford University (Magdalen College, 1925–1954) and Cambridge University (Magdalene College, 1954–1963).",https://en.wikipedia.org/wiki/C._S._Lewis
"I believe in everything until it's disproved. So I believe in fairies, the myths, dragons. It all exists, even if it's in your mind. Who's to say that dreams and nightmares aren't as real as the here and now?",John Lennon,"Inspirational, Life, Faith ","John Winston Ono Lennon  (9 October 1940 – 8 December 1980) was an English singer, songwriter, and peace activist who co-founded the Beatles, the most commercially successful band in the history of popular music.",https://en.wikipedia.org/wiki/John_Lennon
"At the end of your life, you will never regret not having passed one more test, not winning one more verdict or not closing one more deal. You will regret time not spent with a husband, a friend, a child, or a parent.",Barbara Bush,"Inspirational, Life, Meaningful ","Barbara Bush (née Pierce; June 8, 1925 – April 17, 2018) was the First Lady of the United States from 1989 to 1993 as the wife of George H. W.",https://en.wikipedia.org/wiki/Barbara_Bush
Kindness is the language which the deaf can hear and the blind can see.,Mark Twain,"Inspirational, Relationship, Positive ","Samuel Langhorne Clemens (November 30, 1835 – April 21, 1910), better known by his pen name Mark Twain, was an American writer, humorist, entrepreneur, publisher, and lecturer.",https://en.wikipedia.org/wiki/Mark_Twain
I never think of the future - it comes soon enough.,Albert Einstein,"Happiness, Time, Clever ","Albert Einstein (; German: [ˈalbɛɐ̯t ˈʔaɪnʃtaɪn] (listen); 14 March 1879 – 18 April 1955) was a German-born theoretical physicist who developed the theory of relativity, one of the two pillars of modern physics (alongside quantum mechanics).",https://en.wikipedia.org/wiki/Albert_Einstein
Our greatest fear should not be of failure but of succeeding at things in life that don't really matter.,Francis Chan,"Inspirational, Inspiring, Success ","Francis Chan (August 31, 1967) is an American preacher. He is the former teaching pastor of Cornerstone Community Church in Simi Valley, California, a church he and his wife started in 1994. He is also the Founder and Chancellor of Eternity Bible College and author of several books.",https://en.wikipedia.org/wiki/Francis_Chan
"Failure is simply the opportunity to begin again, this time more intelligently.",Henry Ford,"Love, Inspirational, Life ","Henry Ford (July 30, 1863 – April 7, 1947) was an American captain of industry and a business magnate, the founder of the Ford Motor Company, and the sponsor of the development of the assembly line technique of mass production.",https://en.wikipedia.org/wiki/Henry_Ford
Music expresses that which cannot be put into words.,Victor Hugo,"Music, Sound And Music, Musical Life ","Victor Marie Hugo (French: [viktɔʁ maʁi yɡo] (listen); 26 February 1802 – 22 May 1885) was a French poet, novelist, and dramatist of the Romantic movement.",https://en.wikipedia.org/wiki/Victor_Hugo
Good actions are a guard against the blows of adversity.,Abu Bakr,"Adversity, Blow, Action ","Abū Bakr aṣ-Ṣiddīq ‘Abdallāh bin Abī Quḥāfah (Arabic: أبو بكر الصديق عبد الله بن أبي قحافة‎; c. 573 CE – 23 August 634 CE), popularly known as Abu Bakr, was a companion and—through his daughter Aisha—a father-in-law of the Islamic prophet Muhammad.",https://en.wikipedia.org/wiki/Abu_Bakr
Positive thinking will let you do everything better than negative thinking will.,Zig Ziglar,"Positive, Thinking Of You, Attitude ","Hilary Hinton ""Zig"" Ziglar (November 6, 1926 – November 28, 2012) was an American author, salesman, and motivational speaker.",https://en.wikipedia.org/wiki/Zig_Ziglar
"You don't have to be great to start, but you have to start to be great",Zig Ziglar,"Inspirational, Life, Motivational ","Hilary Hinton ""Zig"" Ziglar (November 6, 1926 – November 28, 2012) was an American author, salesman, and motivational speaker.",https://en.wikipedia.org/wiki/Zig_Ziglar
"You have enemies? Good. That means you've stood up for something, sometime in your life.",Winston Churchill,"Inspirational, Funny, Life ","Sir Winston Leonard Spencer-Churchill  (30 November 1874 – 24 January 1965) was a British politician, army officer, and writer, who was Prime Minister of the United Kingdom from 1940 to 1945 and again from 1951 to 1955. As Prime Minister, Churchill led Britain to victory in Europe in the Second World War.",https://en.wikipedia.org/wiki/Winston_Churchill
"If you want total security, go to prison. There you're fed, clothed, given medical care and so on. The only thing lacking... is freedom.",Dwight D. Eisenhower,"Freedom, Patriotic, Vaccines ","Dwight David ""Ike"" Eisenhower ( EYE-zən-how-ər; October 14, 1890 – March 28, 1969) was an American army general and statesman who served as the 34th president of the United States from 1953 to 1961. During World War II, he was a five-star general in the United States Army and served as supreme commander of the Allied Expeditionary Forces in Europe.",https://en.wikipedia.org/wiki/Dwight_D._Eisenhower
It is the supreme art of the teacher to awaken joy in creative expression and knowledge.,Albert Einstein,"Inspirational, Dance, Education ","Albert Einstein (; German: [ˈalbɛɐ̯t ˈʔaɪnʃtaɪn] (listen); 14 March 1879 – 18 April 1955) was a German-born theoretical physicist who developed the theory of relativity, one of the two pillars of modern physics (alongside quantum mechanics).",https://en.wikipedia.org/wiki/Albert_Einstein
"Once you replace negative thoughts with positive ones, you'll start having positive results.",Willie Nelson,"Life, Change, Positive ","Willie Hugh Nelson (born April 29, 1933) is an American musician, singer, songwriter, author, poet, actor, and activist.",https://en.wikipedia.org/wiki/Willie_Nelson
"You build on failure. You use it as a stepping stone. Close the door on the past. You don't try to forget the mistakes, but you don't dwell on it. You don't let it have any of your energy, or any of your time, or any of your space.",Johnny Cash,"Life, Bullying, Mistake ","Johnny Cash (born J.R. Cash, February 26, 1932 – September 12, 2003) was an American singer-songwriter, guitarist, actor, and author.",https://en.wikipedia.org/wiki/Johnny_Cash
"All my life through, the new sights of Nature made me rejoice like a child.",Marie Curie,"Life, Nature, Children ",Marie Skłodowska Curie (; French: [kyʁi]; Polish: [kʲiˈri]; born Maria Salomea Skłodowska; 7 November 1867 – 4 July 1934) was a Polish and naturalized-French physicist and chemist who conducted pioneering research on radioactivity.,https://en.wikipedia.org/wiki/Marie_Curie
"Marriage is not a ritual or an end. It is a long, intricate, intimate dance together and nothing matters more than your own sense of balance and your choice of partner.",Amy Bloom,"Marriage, Love You, Long ",Amy Bloom (born 1953) is an American writer and psychotherapist. She has been nominated for the National Book Award and the National Book Critics Circle Award.,https://en.wikipedia.org/wiki/Amy_Bloom
"When obstacles arise, you change your direction to reach your goal; you do not change your decision to get there.",Zig Ziglar,"Inspirational, Motivational, Success ","Hilary Hinton ""Zig"" Ziglar (November 6, 1926 – November 28, 2012) was an American author, salesman, and motivational speaker.",https://en.wikipedia.org/wiki/Zig_Ziglar
"I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.",Maya Angelou,"Inspirational, Life, Motivational ","Maya Angelou ( (listen); born Marguerite Annie Johnson; April 4, 1928 – May 28, 2014) was an American poet, singer, memoirist, and civil rights activist.",https://en.wikipedia.org/wiki/Maya_Angelou
"Time you enjoy wasting, was not wasted.",John Lennon,"Love, Inspirational, Life ","John Winston Ono Lennon  (9 October 1940 – 8 December 1980) was an English singer, songwriter, and peace activist who co-founded the Beatles, the most commercially successful band in the history of popular music.",https://en.wikipedia.org/wiki/John_Lennon
Faith is not the belief that God will do what you want. It is the belief that God will do what is right.,Max Lucado,"Inspirational, God, Faith ","Max Lucado (born January 11, 1955) is a best-selling Christian author and writer and preacher at Oak Hills Church (formerly the Oak Hills Church of Christ) in San Antonio, Texas.",https://en.wikipedia.org/wiki/Max_Lucado
"If you can't fly then run, if you can't run then walk, if you can't walk then crawl, but whatever you do you have to keep moving forward.","Martin Luther King, Jr.","Inspirational, Motivational, Inspiring ","Martin Luther King Jr. (January 15, 1929 – April 4, 1968) was an American Baptist minister and activist who became the most visible spokesperson and leader in the civil rights movement from 1954 until his assassination in 1968. Born in Atlanta, King is best known for advancing civil rights through nonviolence and civil disobedience, tactics his Christian beliefs and the nonviolent activism of Mahatma Gandhi helped inspire.",https://en.wikipedia.org/wiki/Martin_Luther_King_Jr.
I say that the most liberating thing about beauty is realizing that you are the beholder.,Salma Hayek,"Beauty, Love Yourself, Your Beautiful ","Salma Hayek Pinault (; born Salma Valgarma Hayek Jiménez; September 2, 1966) is a Mexican and American film actress, producer, and former model.",https://en.wikipedia.org/wiki/Salma_Hayek
"The soldier, above all other people, prays for peace, for he must suffer and bear the deepest wounds and scars of war.",Douglas MacArthur,"Peace, Military, War ",Douglas MacArthur (26 January 1880 – 5 April 1964) was an American five-star general and Field Marshal of the Philippine Army.,https://en.wikipedia.org/wiki/Douglas_MacArthur
"The ultimate measure of a man is not where he stands in moments of comfort and convenience, but where he stands at times of challenge and controversy.","Martin Luther King, Jr.","Inspirational, Life, Motivational ","Martin Luther King Jr. (January 15, 1929 – April 4, 1968) was an American Baptist minister and activist who became the most visible spokesperson and leader in the civil rights movement from 1954 until his assassination in 1968. Born in Atlanta, King is best known for advancing civil rights through nonviolence and civil disobedience, tactics his Christian beliefs and the nonviolent activism of Mahatma Gandhi helped inspire.",https://en.wikipedia.org/wiki/Martin_Luther_King_Jr.
"I am a Soldier, I fight where I am told, and I win where I fight.",George S. Patton,"Motivational, Military, War ","George Smith Patton Jr. (November 11, 1885 – December 21, 1945) was a General of the United States Army who commanded the U.S.",https://en.wikipedia.org/wiki/George_S._Patton
"Trying to do the Lord's work in your own strength is the most confusing, exhausting, and tedious of all work. But when you are filled with the Holy Spirit, then the ministry of Jesus just flows out of you.",Corrie Ten Boom,"Christian, Jesus, Confusing ","Cornelia Arnolda Johanna ""Corrie"" ten Boom (15 April 1892 – 15 April 1983) was a Dutch watchmaker and later a writer who worked with her father Casper ten Boom and other family members to help many Jews escape the Nazi Holocaust during World War II by hiding them in her home.",https://en.wikipedia.org/wiki/Corrie_ten_Boom
"Sports for me is when a guy walks off the court, and you really can't tell whether he won or lost, when he carries himself with pride either way.",Jim Courier,"Inspirational, Success, Sports ","James “Jim” Spencer Courier Jr. (born August 17, 1970) is an American former world No. 1 professional tennis player.",https://en.wikipedia.org/wiki/Jim_Courier
"A true leader has the confidence to stand alone, the courage to make tough decisions, and the compassion to listen to the needs of others. He does not set out to be a leader, but becomes one by the equality of his actions and the integrity of his intent.",Douglas MacArthur,"Inspirational, Leadership, Confidence ",Douglas MacArthur (26 January 1880 – 5 April 1964) was an American five-star general and Field Marshal of the Philippine Army.,https://en.wikipedia.org/wiki/Douglas_MacArthur
Expect the best. Prepare for the worst. Capitalize on what comes.,Zig Ziglar,"Inspirational, Motivational, Success ","Hilary Hinton ""Zig"" Ziglar (November 6, 1926 – November 28, 2012) was an American author, salesman, and motivational speaker.",https://en.wikipedia.org/wiki/Zig_Ziglar
"I became insane, with long intervals of horrible sanity.",Edgar Allan Poe,"Inspirational, Life, Clever ","Edgar Allan Poe (; born Edgar Poe; January 19, 1809 – October 7, 1849) was an American writer, editor, and literary critic.",https://en.wikipedia.org/wiki/Edgar_Allan_Poe
"Failure is a detour, not a dead-end street.",Zig Ziglar,"Inspirational, Death, Failure ","Hilary Hinton ""Zig"" Ziglar (November 6, 1926 – November 28, 2012) was an American author, salesman, and motivational speaker.",https://en.wikipedia.org/wiki/Zig_Ziglar
I am not a product of my circumstances. I am a product of my decisions.,Stephen Covey,"Inspirational, Life, Motivational ","Stephen Richards Covey (October 24, 1932 – July 16, 2012) was an American educator, author, businessman, and keynote speaker.",https://en.wikipedia.org/wiki/Stephen_Covey
You can cut all the flowers but you cannot keep spring from coming.,Pablo Neruda,"Inspiring, Hope, Spring ","Ricardo Eliécer Neftalí Reyes Basoalto (12 July 1904 – 23 September 1973), better known by his pen name and, later, legal name Pablo Neruda (; Spanish: [ˈpaβlo neˈɾuða]), was a Chilean poet-diplomat and politician.",https://en.wikipedia.org/wiki/Pablo_Neruda
Life doesn't run away from nobody. Life runs at people.,Joe Frazier,"Motivational, Running, People ","Joseph William Frazier (January 12, 1944 – November 7, 2011), nicknamed ""Smokin' Joe"", was an American professional boxer who competed from 1965 to 1981. He reigned as the undisputed heavyweight champion from 1970 to 1973, and as an amateur won a gold medal at the 1964 Summer Olympics.",https://en.wikipedia.org/wiki/Joe_Frazier
"In order to succeed, your desire for success should be greater than your fear of failure.",Bill Cosby,"Inspirational, Motivational, Positive ","William Henry Cosby Jr. (; born July 12, 1937) is an American stand-up comedian, actor, musician, and author who was active for over five decades before being convicted of a number of sex offenses in 2018.",https://en.wikipedia.org/wiki/Bill_Cosby
Too many of us are not living our dreams because we are living our fears.,Les Brown,"Inspirational, Life, Motivational ",Les Brown may refer to:,https://en.wikipedia.org/wiki/Les_Brown
"If the only prayer you ever say in your entire life is thank you, it will be enough.",Meister Eckhart,"Inspirational, Life, Thank You ","Eckhart von Hochheim  (c. 1260 – c. 1328), commonly known as Meister Eckhart or Eckehart, was a German theologian, philosopher and mystic, born near Gotha, in the Landgraviate of Thuringia (now central Germany) in the Holy Roman Empire.Eckhart came into prominence during the Avignon Papacy, at a time of increased tensions between monastic orders, diocesan clergy, the Franciscan Order, and Eckhart's Dominican Order of Preachers.",https://en.wikipedia.org/wiki/Meister_Eckhart
"It's just a job. Grass grows, birds fly, waves pound the sand. I beat people up.",Muhammad Ali,"Funny, Sports, Jobs ","Muhammad Ali (; born Cassius Marcellus Clay Jr.; January 17, 1942 – June 3, 2016) was an American professional boxer, activist, and philanthropist.",https://en.wikipedia.org/wiki/Muhammad_Ali
"A man must be big enough to admit his mistakes, smart enough to profit from them, and strong enough to correct them.",John C. Maxwell,"Being Strong, Wisdom, Stay Strong ","John Calvin Maxwell (born 1947) is an American author, speaker, and pastor who has written many books, primarily focusing on leadership.",https://en.wikipedia.org/wiki/John_C._Maxwell
"This is one small step for a man, one giant leap for mankind.",Neil Armstrong,"Motivational, Positive, Moon ","Neil Alden Armstrong (August 5, 1930 – August 25, 2012) was an American astronaut and aeronautical engineer who was the first person to walk on the Moon.",https://en.wikipedia.org/wiki/Neil_Armstrong
Our greatest weakness lies in giving up. The most certain way to succeed is always to try just one more time.,Thomas A. Edison,"Inspirational, Motivational, Positive ",,https://en.wikipedia.org/wiki/Thomas_A._Edison
"It has been said, 'time heals all wounds.' I do not agree. The wounds remain. In time, the mind, protecting its sanity, covers them with scar tissue and the pain lessens. But it is never gone.",Rose Kennedy,"Time, Pain, Get Well ","Rose Elizabeth Fitzgerald Kennedy, Countess Kennedy (July 22, 1890 – January 22, 1995) was an American philanthropist, socialite, and the matriarch of the Kennedy family.",https://en.wikipedia.org/wiki/Rose_Kennedy
"Welfare's purpose should be to eliminate, as far as possible, the need for its own existence.",Ronald Reagan,"President, Needs, Purpose ","Ronald Wilson Reagan (; February 6, 1911 – June 5, 2004) was an American politician who served as the 40th president of the United States from 1981 to 1989. Prior to his presidency, he was a Hollywood actor and union leader before serving as the 33rd governor of California from 1967 to 1975.",https://en.wikipedia.org/wiki/Ronald_Reagan
"Each time, before you intercede, be quiet first, and worship God in His glory. Think of what He can do, and how He delights to hear the prayers of His redeemed people. Think of your place and privilege in Christ, and expect great things!",Andrew Murray,"God, Faith, Christian ",Andrew or Andy Murray may refer to:,https://en.wikipedia.org/wiki/Andrew_Murray
"I have held many things in my hands, and I have lost them all; but whatever I have placed in God's hands, that I still possess.",Martin Luther,"Life, God, Christian ","Martin Luther King Jr. (January 15, 1929 – April 4, 1968) was an American Baptist minister and activist who became the most visible spokesperson and leader in the civil rights movement from 1954 until his assassination in 1968. Born in Atlanta, King is best known for advancing civil rights through nonviolence and civil disobedience, tactics his Christian beliefs and the nonviolent activism of Mahatma Gandhi helped inspire.",https://en.wikipedia.org/wiki/Martin_Luther_King_Jr.
Patriotism means to stand by the country. It does not mean to stand by the president.,Theodore Roosevelt,"Country, Peace, War ","Theodore  Roosevelt Jr. ( ROH-zə-velt; October 27, 1858 – January 6, 1919) was an American statesman, conservationist and writer who served as the 26th president of the United States from 1901 to 1909. He previously served as the 25th vice president of the United States from March to September 1901 and as the 33rd governor of New York from 1899 to 1900. As a leader of the Republican Party during this time, he became a driving force for the Progressive Era in the United States in the early 20th century.",https://en.wikipedia.org/wiki/Theodore_Roosevelt
Failure is not the opposite of success; it's part of success.,Arianna Huffington,"Women, Failure, Successful ","Arianna Stassinopoulos Huffington (born Ariadni-Anna Stasinopoulou, Greek: Αριάδνη-Άννα Στασινοπούλου, July 15, 1950) is a Greek-American author, syndicated columnist, and businesswoman.",https://en.wikipedia.org/wiki/Arianna_Huffington
No one has ever become poor by giving.,Anne Frank,"Inspirational, Morning, Kindness ",Annelies Marie Frank (German: [anəliːs maˈʁiː ˈʔanə ˈfʁaŋk]; Dutch: [ɑnəˈlis maːˈri ˈʔɑnə ˈfrɑŋk]; 12 June 1929 – February or March 1945) was a German-born Jewish diarist.,https://en.wikipedia.org/wiki/Anne_Frank
"It is not my ability, but my response to God’s ability, that counts.",Corrie Ten Boom,"Hiding Place, Ability, Baby Boom ","Cornelia Arnolda Johanna ""Corrie"" ten Boom (15 April 1892 – 15 April 1983) was a Dutch watchmaker and later a writer who worked with her father Casper ten Boom and other family members to help many Jews escape the Nazi Holocaust during World War II by hiding them in her home.",https://en.wikipedia.org/wiki/Corrie_ten_Boom
"No matter what people tell you, words and ideas can change the world.",Robin Williams,"Inspirational, Change, Philosophy ","Robin McLaurin Williams (July 21, 1951 – August 11, 2014) was an American actor and comedian. Born in Chicago, Williams began performing stand-up comedy in San Francisco and Los Angeles in the mid-1970s, and is credited with leading San Francisco's comedy renaissance.",https://en.wikipedia.org/wiki/Robin_Williams
A man should never neglect his family for business.,Walt Disney,"Inspirational, Family, Inspiring ","The Walt Disney World Resort, also called Walt Disney World and Disney World, is an entertainment complex in Bay Lake and Lake Buena Vista, Florida, in the United States, near the cities Orlando and Kissimmee.",https://en.wikipedia.org/wiki/Walt_Disney_World
Those who dare to fail miserably can achieve greatly.,John F. Kennedy,"Inspirational, Success, Courage ","John Fitzgerald ""Jack"" Kennedy (May 29, 1917 – November 22, 1963), commonly referred to by his initials JFK, was an American politician and journalist who served as the 35th president of the United States from January 1961 until his assassination in November 1963. He served at the height of the Cold War, and the majority of his presidency dealt with managing relations with the Soviet Union.",https://en.wikipedia.org/wiki/John_F._Kennedy
We must be global Christians with a global vision because our God is a global God.,John Stott,"Christian, Vision, Missionary ",John Robert Walmsley Stott  (27 April 1921 – 27 July 2011) was an English Anglican priest who was noted as a leader of the worldwide evangelical movement.,https://en.wikipedia.org/wiki/John_Stott
The two most important days in your life are the day you are born and the day you find out why.,Mark Twain,"Inspirational, Life, Motivational ","Samuel Langhorne Clemens (November 30, 1835 – April 21, 1910), better known by his pen name Mark Twain, was an American writer, humorist, entrepreneur, publisher, and lecturer.",https://en.wikipedia.org/wiki/Mark_Twain
"No one is born hating another person because of the color of his skin, or his background, or his religion. People must learn to hate, and if they can learn to hate, they can be taught to love, for love comes more naturally to the human heart than its opposite.",Nelson Mandela,"Love, Inspirational, Life ","Nelson Rolihlahla Mandela (; Xhosa: [xolíɬaɬa mandɛ̂ːla]; 18 July 1918 – 5 December 2013) was a South African anti-apartheid revolutionary, political leader, and philanthropist who served as President of South Africa from 1994 to 1999. He was the country's first black head of state and the first elected in a fully representative democratic election.",https://en.wikipedia.org/wiki/Nelson_Mandela
"With everything that has happened to you, you can either feel sorry for yourself or treat what has happened as a gift. Everything is either an opportunity to grow or an obstacle to keep you from growing. You get to choose.",Wayne Dyer,"Inspirational, Positive, Regret ","Wayne Walter Dyer (May 10, 1940 – August 29, 2015) was an American self-help author and a motivational speaker.",https://en.wikipedia.org/wiki/Wayne_Dyer
Don’t let the noise of others’ opinions drown out your own inner voice.,Steve Jobs,"Love, Inspirational, Life ","Steven Paul Jobs (; February 24, 1955 – October 5, 2011) was an American business magnate and investor.",https://en.wikipedia.org/wiki/Steve_Jobs
"History, despite its wrenching pain, cannot be unlived, but if faced with courage, need not be lived again.",Maya Angelou,"Inspirational, Life, Encouragement ","Maya Angelou ( (listen); born Marguerite Annie Johnson; April 4, 1928 – May 28, 2014) was an American poet, singer, memoirist, and civil rights activist.",https://en.wikipedia.org/wiki/Maya_Angelou
How old would you be if you didn't know how old you are?,Satchel Paige,"Happy Birthday, Baseball, Fun ","Leroy Robert ""Satchel"" Paige (July 7, 1906 – June 8, 1982) was an American Negro league baseball and Major League Baseball (MLB) pitcher who is notable for his longevity in the game, and for attracting record crowds wherever he pitched.",https://en.wikipedia.org/wiki/Satchel_Paige
Leadership is a privilege to better the lives of others. It is not an opportunity to satisfy personal greed.,Mwai Kibaki,"Leadership, Power, Opportunity ","Mwai Kibaki, C.G.H. (born 15 November 1931) is a Kenyan politician who was the third President of Kenya, serving from December 2002 until April 2013.",https://en.wikipedia.org/wiki/Mwai_Kibaki
If you have good thoughts they will shine out of your face like sunbeams and you will always look lovely.,Roald Dahl,"Inspirational, Life, Positive ","Roald Dahl (; 13 September 1916 – 23 November 1990) was a British novelist, short story writer, poet, screenwriter, and fighter pilot.",https://en.wikipedia.org/wiki/Roald_Dahl
An optimist stays up until midnight to see the new year in. A pessimist stays up to make sure the old year leaves.,Bill Vaughan,"New Year, Fun, New Beginnings ",,https://en.wikipedia.org/wiki/Bill_Vaughan
Never cut a tree down in the wintertime. Never make a negative decision in the low time. Never make your most important decisions when you are in your worst moods. Wait. Be patient. The storm will pass. The spring will come.,Robert H. Schuller,"Inspirational, Encouraging, Patience ",,https://en.wikipedia.org/wiki/Robert_H._Schuller
"When the going gets weird, the weird turn pro.",Hunter S. Thompson,"Music, Sports, Hunting ","Hunter Stockton Thompson (July 18, 1937 – February 20, 2005) was an American journalist and author, and the founder of the gonzo journalism movement.",https://en.wikipedia.org/wiki/Hunter_S._Thompson
"When a train goes through a tunnel and it gets dark, you don't throw away the ticket and jump off. You sit still and trust the engineer.",Corrie Ten Boom,"Trust, Encouraging, Uplifting ","Cornelia Arnolda Johanna ""Corrie"" ten Boom (15 April 1892 – 15 April 1983) was a Dutch watchmaker and later a writer who worked with her father Casper ten Boom and other family members to help many Jews escape the Nazi Holocaust during World War II by hiding them in her home.",https://en.wikipedia.org/wiki/Corrie_ten_Boom
"God doesn't require us to succeed, he only requires that you try.",Mother Teresa,"Success, God, Mother ","Mary Teresa Bojaxhiu commonly called Mother Teresa, and known in the Roman Catholic Church as Saint Teresa of Calcutta (born Anjezë Gonxhe Bojaxhiu, Albanian: [aˈɲɛzə ˈɡɔndʒɛ bɔjaˈdʒiu]; 26 August 1910 – 5 September 1997), was an Albanian-Indian Roman Catholic nun and missionary.",https://en.wikipedia.org/wiki/Mother_Teresa
Change your thoughts and you change your world.,Norman Vincent Peale,"Inspirational, Motivational, Change ","Norman Vincent Peale (May 31, 1898 – December 24, 1993) was an American minister and author known for his work in popularizing the concept of positive thinking, especially through his best-selling book The Power of Positive Thinking.",https://en.wikipedia.org/wiki/Norman_Vincent_Peale
Can words describe the fragrance of the very breath of spring?,Neltje Blanchan,"Spring, April, Fragrance ","Neltje Blanchan De Graff Doubleday (October 23, 1865 – February 21, 1918) was a United States scientific historian and nature writer who published several books on wildflowers and birds under the pen name Neltje Blanchan.",https://en.wikipedia.org/wiki/Neltje_Blanchan
Faith is to believe what you do not see; the reward of this faith is to see what you believe.,Saint Augustine,"Inspirational, Faith, Spiritual ",,https://en.wikipedia.org/wiki/Saint_Augustine
"I have found that if you love life, life will love you back.",Arthur Rubinstein,"Love, Inspirational, Life ","Arthur Rubinstein, KBE (Polish: Artur Rubinstein; 28 January 1887 – 20 December 1982) was a  Polish American classical pianist.",https://en.wikipedia.org/wiki/Arthur_Rubinstein
"When everything seems to be going against you, remember that the airplane takes off against the wind, not with it.",Henry Ford,"Inspirational, Motivational, Positive ","Henry Ford (July 30, 1863 – April 7, 1947) was an American captain of industry and a business magnate, the founder of the Ford Motor Company, and the sponsor of the development of the assembly line technique of mass production.",https://en.wikipedia.org/wiki/Henry_Ford
