mfcc,scem,scom,srom,sbwm,tempo,rmse,momento_aux
-6.3572128954143805,2098.2763716855306,15.711377203699053,4888.162011945331,2777.7400851139537,129.19921875,0.016741061583161354,Tecleo
-10.668860697390125,3068.030358254844,16.387926933020726,6414.496401899652,2808.26419182156,129.19921875,0.013027646578848362,Tecleo
-11.186488716518735,3051.5301365835876,16.454300593444707,6341.903028023492,2783.3486002390705,135.99917763157896,0.006895831786096096,Tecleo
-10.420963712183418,2986.937290455678,16.518251037138874,6303.607899960121,2804.327384771162,117.45383522727273,0.012059349566698074,Tecleo
-6.131498268084484,2248.758028906666,15.645063098499387,5498.560873151102,2904.7942421787825,117.45383522727273,0.016495145857334137,Tecleo
-6.459981924350845,2110.801499557764,15.680692614136888,5059.07868918576,2822.2271865629705,112.34714673913044,0.015606245025992393,Tecleo
-10.288564994811415,3295.3269864678787,16.472440093330174,6971.287079919519,2877.2546058611765,107.666015625,0.008419039659202099,Tecleo
-17.976177213085492,3399.3402785020585,16.87999641757092,6549.64098299739,2553.247939593791,143.5546875,0.0061532785184681416,Tecleo
-13.559855689540436,2948.825356296901,16.191134731864793,6313.350300445911,2811.078302630757,99.38401442307692,0.011791536584496498,Tecleo
-11.448892443996096,3090.1990855650206,16.27784707690002,6501.778318046694,2845.612726589089,117.45383522727273,0.013382097706198692,Tecleo
-11.48761939573834,3351.3847888012006,16.293042980492565,6878.18470399507,2825.2813896566126,161.4990234375,0.007155788131058216,Tecleo
-10.288828504617324,2919.8257281063534,16.484912156274643,6283.723410763486,2821.425875761733,143.5546875,0.011775950901210308,Tecleo
-6.142643091937755,2083.680711356506,15.779774265898707,4901.851333653567,2780.5832438671614,129.19921875,0.016963059082627296,Tecleo
-6.505033590432687,2195.5044619395135,15.55058266477415,5444.02841094475,2881.5922829474175,129.19921875,0.016292454674839973,Tecleo
-10.91581607132343,3022.9932842434014,16.440800191451974,6418.867991861224,2826.853986984927,117.45383522727273,0.010620145127177238,Tecleo
-10.135611130746911,3037.4166263538573,16.496000470041484,6413.297337224478,2796.3757952045835,99.38401442307692,0.007810712326318026,Tecleo
-6.3769453392708115,2163.89744216915,15.531251608215847,5384.499845925174,2867.4169073913467,129.19921875,0.01625722274184227,Tecleo
-9.846705347319219,3250.4516451940203,16.53184467998705,6795.299358323666,2844.549048846355,135.99917763157896,0.007943706586956978,Tecleo
-18.255290503280623,3458.988615128335,16.5653235113093,6635.249204702001,2544.856112587327,135.99917763157896,0.005989830009639263,Tecleo
-14.829341261699009,3148.653784538667,16.306220219343256,6670.5966321055685,2893.0461396277556,112.34714673913044,0.006031716708093882,Tecleo
-9.841784439970334,3191.1792489551585,16.408096797147515,6743.489772150522,2854.7717205746826,117.45383522727273,0.008059950545430183,Tecleo
-11.881172741062564,3233.395499794292,16.430168499934535,6739.592811956207,2825.2034141062654,123.046875,0.007316287141293287,Tecleo
-20.37474035416411,3201.1336645757847,16.285016431415425,6488.538645591648,2637.14495188869,112.34714673913044,0.003833085997030139,Tecleo
-11.641408111702114,2915.081627803079,16.414691252779612,6156.8473798216355,2767.4472279503093,103.359375,0.00903391744941473,Tecleo
-12.320263544318331,3173.8752552195297,16.318051706947042,6686.7090636782195,2837.707053608584,123.046875,0.007100341841578484,Tecleo
