mfcc,scem,scom,srom,sbwm,tempo,rmse,momento_aux
-8.979329335757601,1772.5985253332717,24.04632715299829,3065.9833939058876,1969.22381415917,198.76802884615384,0.052724726498126984,Timbre
-8.775425930020443,1783.7778210299962,24.12786002348193,3094.7609461100637,1968.6438610938376,198.76802884615384,0.05355910211801529,Timbre
-11.648683484477946,4381.043785823766,17.779601025693577,8364.475329901392,3014.9458209512864,129.19921875,0.04339069500565529,Licuadora
-2.4817972262284753,1475.9429509013958,20.655018259700892,2684.7807492568154,1087.6054367434992,107.666015625,0.22358477115631104,Licuadora
-2.5197282931018723,1457.2185656924232,19.95388865043475,2662.5980527660963,1089.5934930394944,112.34714673913044,0.23556169867515564,Licuadora
-7.42672221722818,3368.4287180764995,18.802524519181617,7330.2820475638055,3018.047707093816,103.359375,0.032254576683044434,Licuadora
-23.28735786375903,1188.6479951428328,24.67886402693675,1406.627766549449,1096.746967320583,129.19921875,0.07353110611438751,Timbre
-21.91599054059631,2180.1552022657334,16.855905480754547,5010.741394467807,2540.170148421535,184.5703125,0.0050703841261565685,Licuadora
-2.668717236721249,3201.2253068442965,18.353727141610076,6952.0770646026685,2912.2278995175016,112.34714673913044,0.08257368206977844,Licuadora
-23.42959323077575,1645.7506015576696,27.475119366964048,2327.2346514283645,1045.6059367654052,112.34714673913044,0.09390745311975479,Timbre
-22.992331646548205,1207.509629715998,24.703488659315997,1435.4552797817576,1107.6744945431274,129.19921875,0.0776042714715004,Timbre
-21.58125781174331,3641.259336622547,18.229922568959307,6723.080692158498,2544.68546509612,117.45383522727273,0.008106383495032787,Licuadora
-11.728285001885608,4382.362547266749,17.707876866756173,8379.663482453596,3014.2877936881337,129.19921875,0.04328479617834091,Licuadora
-19.285444598329484,1485.8456849934812,28.66655881131112,2137.4826665820765,1005.9563329224919,112.34714673913044,0.17623108625411987,Timbre
-8.908068200100825,1766.5320285344326,24.18396541618179,3048.4970340595996,1960.5845376148811,198.76802884615384,0.05353623628616333,Timbre
-21.200464223084634,1444.3383490378758,28.32344451517599,2064.789370649652,967.8153635772013,112.34714673913044,0.13442698121070862,Timbre
-23.445501384049802,1150.9423597704053,24.77853834723983,1323.8673234483758,1064.4836902661464,129.19921875,0.0708184540271759,Timbre
-22.89157972544358,1210.1634826683764,24.705599819124732,1441.700408298289,1109.8691134251412,129.19921875,0.07861913740634918,Timbre
-23.007157139465416,1284.3758715007243,28.31693840109228,1785.4073013341067,898.9254484077588,112.34714673913044,0.09770232439041138,Timbre
-5.296334984301673,2945.6015670694683,18.68199788927548,6856.7764034404,2934.73587387757,112.34714673913044,0.06733241677284241,Licuadora
-22.958414230882923,1209.1340635641889,24.713554649980416,1438.752707638486,1111.213567440377,129.19921875,0.07809541374444962,Timbre
-2.5034780445975207,1457.7643584681716,19.959365034794608,2665.9954026790892,1093.0822414197949,123.046875,0.2358553111553192,Licuadora
-19.80488040283784,3572.5896192179603,17.980205284586756,6630.053257776247,2510.746524173056,117.45383522727273,0.009882097132503986,Licuadora
-11.422960145160783,4409.611136092386,17.72280839414875,8398.673653657917,3014.255679017776,123.046875,0.04624516889452934,Licuadora
-23.220678881584767,1156.2990180172374,24.8544959624495,1343.7018516168794,1064.0685997392388,129.19921875,0.07349065691232681,Timbre
-25.04532401385338,2747.57043698965,24.953012202225967,3977.2475665240718,1439.6004865355994,112.34714673913044,0.0671185776591301,Timbre
-8.8026240516294,1895.8436722539686,19.549456922360207,3639.111328125,2361.1022650141426,120.0,0.1496841162443161,Timbre
-4.719104188093598,2769.438614612549,19.205651025154854,6504.70103819243,2858.7189147708596,117.45383522727273,0.06253903359174728,Licuadora
-11.254169552275343,4409.933377068187,17.70153769259135,8387.382461300029,3013.2141169440997,123.046875,0.04679455608129501,Licuadora
-22.40729107189916,1313.742773146103,28.398873801864656,1827.9740973027842,901.8436767363102,112.34714673913044,0.11147867888212204,Timbre
-8.813486057421446,1780.668353192439,24.169763311568467,3075.9755995323376,1975.4133178889927,198.76802884615384,0.053234267979860306,Timbre
-3.8155308018406053,2966.4925457269646,18.481197065111353,6791.627222755946,2899.2452397613156,135.99917763157896,0.06870311498641968,Licuadora
-8.78203761768661,1797.2505635322113,24.095437739185115,3106.6516708055397,1969.9692542012963,198.76802884615384,0.05448213592171669,Timbre
-24.30425584623914,2445.5972936035364,25.675183983539657,3535.7669414334396,1367.7436608147204,112.34714673913044,0.07961086183786392,Timbre
-20.27314853175061,3572.680652559214,17.959155488712266,6630.727731656032,2514.0660703964154,135.99917763157896,0.009648953564465046,Licuadora
-8.783832858156302,1799.5435022231159,24.01801066620221,3114.945201475493,1976.6519167413107,198.76802884615384,0.054232098162174225,Timbre
-23.065937752969905,3205.5817799992974,24.43639575328561,4674.953324390951,1626.5749629492993,112.34714673913044,0.1043090671300888,Timbre
-5.037770026024722,2916.513834493589,18.73467744477655,6782.50933512181,2915.7835459080543,129.19921875,0.06830820441246033,Licuadora
-20.185232568627853,3562.3517535833985,18.063838110358276,6617.263234574391,2511.5651554100327,112.34714673913044,0.009647121652960777,Licuadora
-2.5382827737015785,1457.7196236491898,19.947036951913528,2668.368551515371,1092.6106075876335,143.5546875,0.23622052371501923,Licuadora
-19.615325029050172,3172.1415782814956,37.15125845224083,6136.962890625,2473.946066756357,120.0,0.01449501235038042,Licuadora
-22.647168452459848,1340.3137069405766,28.187677127218475,1861.8476743764502,944.4794036006745,112.34714673913044,0.10968673229217529,Timbre
